order_number,timestamp,filename
JP184K0CBR00,2020-05-17 09:39:05.747242,MVNCGT-0266-JP184K0CBR00AB_orig.SLDPRT
JP184K5WJ700,2020-05-17 09:39:06.014486,MVNCGT-0262-JP184K5WJ700AB_orig.SLDPRT
JP184L42GD00,2020-05-17 09:39:06.290804,MVNCGT-0297-JP184L42GD00AA_orig.CATPart
JP184L6BD900,2020-05-17 09:39:06.513000,MVNCGT-0295-JP184L6BD900AA_orig.CATPart
JP184LWU8Y00,2020-05-17 09:39:06.869660,MVNCGT-0296-JP184LWU8Y00AA_orig.CATPart
JP184LRX7K00,2020-05-17 09:39:07.129737,MVNCGT-0281-JP184LRX7K00AB_orig.SLDPRT
JP184LH33300,2020-05-17 09:39:07.492618,MVNCGT-0290-JP184LH33300AA_orig.IGS
JP184LRK0J00,2020-05-17 09:39:07.707491,MVNCGT-0291-JP184LRK0J00AB_orig.stp
JP184LYHKD00,2020-05-17 09:39:07.935039,MVNCGT-0293-JP184LYHKD00AB_orig.stp
JP184LTWTG00,2020-05-17 09:39:08.168439,MVNCGT-0298-JP184LTWTG00AB_orig.STEP
JP184L633E00,2020-05-17 09:39:08.694395,MVNCGT-0284-JP184L633E00AB_orig.igs
JP184LZM1500,2020-05-17 09:39:10.674362,MVNCGT-0282-JP184LZM1500AB_orig.stp
JP184LDPF200,2020-05-17 09:39:11.114367,MVNCGT-0287-JP184LDPF200AB_orig.IGS
JP184LLFS400,2020-05-17 09:39:11.592032,MVNCGT-0288-JP184LLFS400AB_orig.IGS
JP184L2F7C00,2020-05-17 09:39:11.974905,MVNCGT-0289-JP184L2F7C00AB_orig.IGS
JP184LE45W00,2020-05-17 09:39:12.374642,MVNCGT-0286-JP184LE45W00AB_orig.IGS
JP184L0CU200,2020-05-17 09:39:12.685097,MVNCGT-0285-JP184L0CU200AB_orig.IGS
JP184LG3U200,2020-05-17 09:39:12.894855,MVNCGT-0294-JP184LG3U200AB_orig.stp
JP184P1DX400,2020-05-17 09:39:13.338394,MVNCGT-0299-JP184P1DX400AA_orig.ipt
JP184PFW6J00,2020-05-17 09:39:13.561874,MVNCGT-0321-JP184PFW6J00AB_orig.stp
JP184P6PS500,2020-05-17 09:39:13.835685,MVNCGT-0323-JP184P6PS500AB_orig.CATPart
JP184PG74600,2020-05-17 09:39:14.065601,MVNCGT-0317-JP184PG74600AB_orig.STEP
JP184PJ3UG00,2020-05-17 09:39:14.338534,MVNCGT-0316-JP184PJ3UG00AA_orig.STEP
JP184PKFCZ00,2020-05-17 09:39:14.601349,MVNCGT-0328-JP184PKFCZ00AB_orig.STEP
JP184P04JN00,2020-05-17 09:39:14.890771,MVNCGT-0326-JP184P04JN00AB_orig.STEP
JP184PCWM100,2020-05-17 09:39:15.322331,MVNCGT-0327-JP184PCWM100AB_orig.STEP
JP184RA9NZ00,2020-05-17 09:39:15.923604,MVNCGT-0330-JP184RA9NZ00AA_orig.stp
